"","population","min_cov","mean_cov","reads"
"1","F_01_02",5,33.2017301812216,5486748
"2","F_01_04",8,113.063166529943,18791154
"3","F_01_06",5,21.1710791259602,5980060
"4","F_01_08",5,6.81529818281254,13553750
"5","F_01_10",12,51.4375668083625,8358220
"6","F_01_12",22,80.4558878365277,13240338
"7","F_01_14",45,236.779526188878,40474710
"8","F_02_02",14,54.4834066671638,9138294
"9","F_02_04",26,104.189947050488,17668736
"10","F_02_06",15,67.4094265045865,10540148
"11","F_02_08",8,43.379769806349,6868988
"12","F_02_10",12,46.066969945559,7303500
"13","F_02_12",35,139.545106520496,24010838
"14","F_02_14",23,115.552241032143,19799394
"15","F_03_02",5,20.2475451810973,3127112
"16","F_03_04",10,47.5784920575733,7884244
"17","F_03_06",24,86.7723916772317,13803348
"18","F_03_08",20,89.3800929723817,14303116
"19","F_03_10",15,70.672384219554,11721872
"20","F_03_12",27,180.204539239814,30587758
"21","F_03_14",17,80.3472046138166,12743524
"22","F_06_02",5,24.8533074800507,4036856
"23","F_06_04",20,72.7070375618366,11865958
"24","F_06_06",17,68.9599522708629,10959398
"25","F_06_08",16,98.6238844557138,16796490
"26","F_06_10",12,156.496731051284,24883066
"27","F_06_12",36,158.508489323091,26664186
"28","F_06_14",49,254.47241902205,44029732
"29","F_07_02",39,174.297486762622,30027332
"30","F_07_04",6,76.5109503567256,12824126
"31","F_07_06",27,96.4651602157755,15269042
"32","F_07_08",29,98.7049991299376,16286138
"33","F_07_10",28,138.484077858155,24344556
"34","F_07_12",34,146.85658885823,24057686
"35","F_07_14",41,238.868993462103,39841406
"36","F_08_02",24,88.437169065553,14003096
"37","F_08_04",24,77.1653864319984,12691724
"38","F_08_06",39,147.463519526686,24328726
"39","F_08_08",21,131.143361423919,22254534
"40","F_08_10",17,67.0968006562756,11245560
"41","F_08_12",30,101.286523976434,17247390
"42","F_08_14",34,140.009396673876,23244218
"43","F_09_02",26,125.313321898228,21028750
"44","F_09_04",22,95.0925497799985,15617430
"45","F_09_06",21,91.653068834365,14549374
"46","F_09_08",35,180.752678549233,30965738
"47","F_09_10",8,72.7118601934024,12002224
"48","F_09_12",27,100.434260571258,16091232
"49","F_09_14",33,153.521589976881,24356006
"50","F_10_02",11,46.4062694210356,7595152
"51","F_10_04",29,104.405349640789,17256594
"52","F_10_06",26,80.3373604792801,13026556
"53","F_10_08",32,150.022721057996,26027330
"54","F_10_10",24,106.086956521739,18188280
"55","F_10_12",26,140.162005618117,24194552
"56","F_10_14",16,85.1777910358714,13821542
"57","F_11_02",12,52.2949262932856,8719482
"58","F_11_04",11,61.0968503741268,8318868
"59","F_11_06",19,65.4413205061277,10322726
"60","F_11_08",39,157.273821065454,26615702
"61","F_11_10",9,51.3867303055162,8316308
"62","F_11_12",29,101.154100479777,17309724
"63","F_11_14",20,96.0579710144928,15907818
"64","F_12_02",5,30.8186292788426,4689906
"65","F_12_04",22,68.8150495935566,10885834
"66","F_12_06",8,39.2982573893156,5999214
"67","F_12_08",9,50.7585701145996,7866268
"68","F_12_10",24,98.8395356352698,15510212
"69","F_12_12",11,43.0372635294703,7212656
"70","F_12_14",9,40.9898078405051,6242528
"71","F_13_02",27,85.7454694608099,14575964
