Cage,Sex,1I,2I,3I,4I,5I,6I,7I,8I,9I,10I,11I,12I,13I
CB1 (?),M,4,1,0,0,0,0,1,0,0,1,0,3,92
CB1 (?),F,2,0,0,0,0,0,0,0,0,1,1,2,93
CB1 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CB2 (?),M,5,0,0,1,0,1,0,0,1,0,0,1,93
CB2 (?),F,3,1,0,0,0,0,1,0,1,0,1,0,94
CB2 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CB3 (?),M,1,0,1,0,0,1,1,1,0,1,1,1,112
CB3 (?),F,0,0,0,0,0,0,0,0,0,0,0,1,106
CB3 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CB4 (?),M,1,1,1,0,0,2,1,2,0,0,0,1,102
CB4 (?),F,1,0,0,0,0,0,2,1,2,1,0,5,94
CB4 (?),UK,1,0,0,0,0,0,0,3,0,0,0,0,0
CB5 (?),M,2,0,1,0,1,0,0,1,1,0,3,3,100
CB5 (?),F,5,1,0,0,0,0,0,1,0,1,3,2,72
CB5 (?),UK,2,0,0,0,0,0,0,0,0,0,0,0,0
CB1 (?),M,0,0,1,1,0,1,0,0,0,1,0,2,111
CB1 (?),F,0,0,1,0,0,0,1,0,0,3,0,0,101
CB1 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CB2 (?),M,0,2,0,1,0,0,0,0,0,2,1,2,99
CB2 (?),F,0,0,0,0,0,1,3,2,2,3,6,3,77
CB2 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CB3 (?),M,1,1,0,1,0,0,0,2,0,0,3,0,108
CB3 (?),F,0,0,0,0,0,0,0,3,0,0,0,0,99
CB3 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CB4 (?),M,2,4,0,0,0,0,0,0,0,1,0,0,142
CB4 (?),F,6,1,0,0,0,0,0,1,0,0,0,0,97
CB4 (?),UK,0,1,0,0,0,0,0,0,0,0,0,0,0
CB5 (?),M,6,0,0,0,0,0,1,0,1,2,2,1,97
CB5 (?),F,8,0,0,0,0,0,0,0,1,3,2,1,80
CB5 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CBO1 (?),M,0,0,0,1,0,0,2,0,1,2,1,2,129
CBO1 (?),F,1,0,0,0,0,0,1,0,0,1,0,0,117
CBO1 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CBO2 (?),M,4,0,0,0,0,0,0,1,1,1,3,3,70
CBO2 (?),F,5,1,2,0,0,0,1,0,0,4,2,1,97
CBO2 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CBO3 (?),M,1,0,0,0,0,0,0,0,0,1,1,0,113
CBO3 (?),F,1,1,0,0,0,1,0,0,1,0,1,2,110
