Cage,Sex,1I,2I,3I,4I,5I,6I,7I,8I,9I,10I,11I,12I,13I
CB1 (?),M,1,0,0,2,3,10,15,17,15,12,6,6,6
CB1 (?),F,1,1,0,2,1,7,9,15,18,5,14,7,28
CB1 (?),UK,1,0,0,0,0,0,0,0,0,0,0,0,0
CB2 (?),M,0,1,1,1,5,22,31,20,18,12,4,2,8
CB2 (?),F,1,0,0,0,3,28,18,13,14,9,6,6,12
CB2 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CB3 (?),M,0,0,0,2,3,25,24,29,20,12,6,2,7
CB3 (?),F,0,0,1,1,1,6,20,27,10,6,5,6,16
CB3 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CB4 (?),M,0,0,0,2,4,17,26,22,19,15,10,8,5
CB4 (?),F,0,0,0,0,5,14,15,27,10,14,10,1,5
CB4 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CB5 (?),M,1,0,0,0,2,9,16,15,10,19,12,8,26
CB5 (?),F,3,0,0,0,0,4,5,13,9,6,13,6,26
CB5 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CB1 (?),M,12,0,0,1,3,13,23,29,18,19,8,5,14
CB1 (?),F,15,0,0,0,2,6,13,25,17,6,7,4,24
CB1 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CB2 (?),M,3,3,0,1,13,28,32,18,11,6,2,2,8
CB2 (?),F,1,0,1,1,8,13,33,22,6,3,2,0,1
CB2 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CB3 (?),M,0,1,0,2,0,18,24,14,21,9,3,4,14
CB3 (?),F,0,1,0,4,2,8,23,20,11,7,9,3,21
CB3 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CB4 (?),M,2,0,0,2,3,8,12,18,14,18,7,6,12
CB4 (?),F,1,1,0,1,5,13,22,19,10,11,11,1,11
CB4 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CB5 (?),M,1,1,0,1,0,10,16,13,10,18,2,6,20
CB5 (?),F,0,0,1,1,0,6,12,14,14,9,8,10,19
CB5 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CBO1 (?),M,1,2,0,1,0,19,23,15,11,11,9,3,23
CBO1 (?),F,2,0,0,0,3,15,15,15,16,11,4,6,39
CBO1 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CBO2 (?),M,0,0,0,0,1,16,15,21,14,4,5,3,7
CBO2 (?),F,5,0,0,1,5,10,25,12,11,9,9,8,18
CBO2 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CBO3 (?),M,4,0,1,0,4,16,17,15,23,7,10,5,19
CBO3 (?),F,3,0,0,0,2,11,23,24,14,12,3,8,23
CBO3 (?),UK,1,0,0,0,0,0,0,0,0,0,0,0,0
CBO4 (?),M,1,0,0,0,12,25,29,27,15,8,1,2,21
CBO4 (?),F,0,0,0,1,6,7,13,27,14,9,8,5,23
CBO4 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CBO5 (?),M,0,0,0,1,3,18,26,21,22,3,7,1,8
CBO5 (?),F,5,1,1,2,7,14,31,17,17,7,8,3,6
CBO5 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CBO1 (?),M,1,0,2,1,5,23,27,26,22,10,13,5,13
CBO1 (?),F,3,0,0,0,0,9,18,22,11,10,7,10,28
CBO1 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CBO2 (?),M,1,0,0,0,1,20,25,28,14,5,3,3,3
CBO2 (?),F,0,1,0,0,4,13,27,28,8,13,7,5,10
CBO2 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CBO3 (?),M,1,0,0,1,14,34,30,31,11,7,0,1,3
CBO3 (?),F,0,0,1,1,4,17,19,22,11,6,8,5,15
CBO3 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CBO4 (?),M,8,0,0,4,3,17,18,19,11,12,7,4,17
CBO4 (?),F,6,0,0,0,1,9,10,13,11,8,8,5,33
CBO4 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
CBO5 (?),M,0,2,0,0,3,9,23,37,13,14,8,4,10
CBO5 (?),F,2,2,0,0,2,8,24,10,11,9,6,4,8
CBO5 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EB1 (?),M,1,1,0,2,2,1,4,4,7,5,8,6,44
EB1 (?),F,1,1,0,1,2,3,6,6,11,18,13,10,24
EB1 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EB2 (?),M,1,0,0,0,1,5,5,11,10,10,11,10,35
EB2 (?),F,1,0,0,0,3,4,9,16,13,13,14,9,39
EB2 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EB3 (?),M,0,0,0,0,0,0,5,10,11,5,18,15,48
EB3 (?),F,0,0,0,0,0,1,7,14,11,12,9,7,30
EB3 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EB4 (?),M,2,0,0,2,1,2,5,10,7,7,5,6,38
EB4 (?),F,4,0,0,1,0,4,14,14,12,9,7,10,24
EB4 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EB5 (?),M,0,1,2,0,0,3,3,7,5,4,14,10,42
EB5 (?),F,0,0,2,0,0,2,6,4,9,12,7,12,41
EB5 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EB1 (?),M,0,0,1,0,2,0,3,5,11,11,13,7,54
EB1 (?),F,0,0,0,0,1,2,5,7,16,16,9,8,40
EB1 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EB2 (?),M,2,0,0,0,2,3,12,12,17,9,4,8,45
EB2 (?),F,0,0,0,2,2,5,9,14,19,11,6,5,45
EB2 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EB3 (?),M,1,0,0,1,1,3,9,7,11,11,10,20,29
EB3 (?),F,0,0,0,0,0,3,5,8,10,20,11,10,35
EB3 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EB4 (?),M,2,0,0,0,1,4,4,18,17,12,20,10,26
EB4 (?),F,0,0,0,2,5,4,20,18,14,16,10,7,12
EB4 (?),UK,0,0,0,0,0,0,1,0,0,0,0,0,0
EB5 (?),M,2,0,0,0,2,3,4,11,10,12,9,11,43
EB5 (?),F,0,0,0,0,1,3,7,12,14,9,13,11,42
EB5 (?),UK,1,0,0,0,0,0,0,0,0,0,0,0,0
EBO1 (?),M,0,0,0,0,1,2,5,9,12,15,12,11,38
EBO1 (?),F,1,0,0,0,1,5,8,11,10,11,3,6,37
EBO1 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EBO2 (?),M,2,1,0,0,1,4,3,21,17,12,15,9,34
EBO2 (?),F,0,0,0,0,2,3,12,23,19,8,19,12,33
EBO2 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EBO3 (?),M,2,0,0,3,2,5,4,21,14,14,6,10,42
EBO3 (?),F,2,1,0,0,2,6,12,22,17,7,17,11,20
EBO3 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EBO4 (?) ,M,4,1,0,0,2,3,15,16,22,14,16,17,33
EBO4 (?) ,F,8,1,0,0,1,11,20,16,13,17,13,16,29
EBO4 (?) ,UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EBO5 (?),M,0,0,0,0,1,7,5,13,16,13,16,11,66
EBO5 (?),F,1,0,0,1,0,4,10,14,10,16,11,9,43
EBO5 (?),UK,0,0,0,0,0,0,0,0,0,0,0,0,0
EBO1 (?),M,1,0,0,0,0,1,2,5,6,8,9,16,60
EBO1 (?),F,0,0,0,0,0,0,10,9,15,14,14,12,37
