Cage,Sex,day01,day02,day03,day04,day05,day06,day07,day08,day09,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31,day32,day33,day34,day35,day36,day37,day38,day39,day40,day41,day42,day43,day44,day45,day46,day47,day48,day49,day50,day51,day52,day53,day54,day55,day56,day67,day58,day59,day60,Notes
CB1 (?),M,1,1,0,1,2,0,0,3,0,3,2,18,4,17,29,53,34,49,42,42,29,32,14,22,5,11,7,5,6,1,4,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dead on 6/5
CB1 (?),F,0,1,1,1,2,2,4,1,1,12,7,14,7,6,30,20,15,25,24,14,22,26,24,25,7,27,28,26,6,11,8,17,5,9,6,5,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CB2 (?),M,4,2,0,0,2,2,3,2,0,16,19,25,12,34,73,41,35,54,41,58,29,46,17,27,5,21,11,6,7,1,7,4,2,2,0,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 6/3
CB2 (?),F,1,0,2,3,4,6,2,4,1,7,7,14,3,8,24,27,12,22,31,26,20,57,35,33,11,38,28,41,8,7,5,13,9,9,5,8,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CB3 (?),M,3,5,0,1,1,5,2,0,3,9,10,36,8,34,27,42,29,43,45,48,21,40,18,6,7,6,5,7,3,3,4,3,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 6/6
CB3 (?),F,2,1,1,1,1,4,1,5,3,8,17,22,11,24,16,28,10,32,40,39,24,74,26,40,19,31,23,35,9,15,8,7,5,9,4,2,1,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CB4 (?),M,2,3,3,1,1,1,0,6,3,3,13,12,12,14,21,18,18,39,28,26,37,35,28,33,14,27,13,12,12,13,12,6,3,5,6,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 6/1
CB4 (?),F,0,1,3,0,2,0,6,9,2,5,9,6,10,13,13,16,7,39,30,26,17,37,32,33,14,39,29,48,22,11,26,22,5,11,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CB5 (?),M,0,2,0,3,1,3,1,3,2,11,4,6,7,12,17,30,22,27,51,24,18,44,19,27,14,22,17,11,6,8,4,3,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 5/30
CB5 (?),F,1,1,1,2,6,3,3,3,1,43,7,22,2,20,7,7,8,11,18,8,9,40,20,39,15,11,11,24,7,10,9,9,1,0,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CBO1 (?),M,0,1,0,0,2,1,4,0,1,8,4,5,5,4,14,48,20,38,41,79,36,102,41,23,18,16,9,13,15,4,3,5,3,2,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dead on 6/5
